database,year,title,authors,type,journal_or_source,volume,issue,pages,doi,url,other_urls,query
OpenAlex,1951,<i>Essays in the History of Ideas</i>. Arthur O. Lovejoy,James Luther Adams,article,The Journal of Religion,,,,https://doi.org/10.1086/484075,https://openalex.org/W2514227645,https://doi.org/10.1086/484075,Arthur O. Lovejoy
OpenAlex,1937,<i>The Great Chain of Being</i>. Arthur O. Lovejoy,H. T. Davis,article,Isis,,,,https://doi.org/10.1086/347235,https://openalex.org/W2513296475,https://doi.org/10.1086/347235,Arthur O. Lovejoy
OpenAlex,1949,"Arthur O. Lovejoy, <i>Essays in the History of Ideas</i>",René Wellek,article,The Germanic Review Literature Culture Theory,,,,https://doi.org/10.1080/19306962.1949.11786443,https://openalex.org/W2558313679,https://doi.org/10.1080/19306962.1949.11786443,Arthur O. Lovejoy
OpenAlex,1931,Book Review:The Revolt Against Dualism. Arthur O. Lovejoy,Arthur Ε. Murphy,article,Ethics,,,,https://doi.org/10.1086/207879,https://openalex.org/W1995893971,https://doi.org/10.1086/207879,Arthur O. Lovejoy
OpenAlex,1938,<i>The Great Chain of Being</i>. Arthur O. Lovejoy,Henry V. S. Ogden,article,Isis,,,,https://doi.org/10.1086/347375,https://openalex.org/W4237557654,https://doi.org/10.1086/347375,Arthur O. Lovejoy
OpenAlex,1908,The Theory of a Pre-Christian Cult of Jesus,Arthur O. Lovejoy,article,The Monist; Zenodo (CERN European Organization for Nuclear Research),,,,https://doi.org/10.5840/monist190818440,https://openalex.org/W2313375078,http://doi.org/10.5840/monist190818440; https://doi.org/10.5840/monist190818440,Arthur O. Lovejoy
OpenAlex,1931,What Is Knowledge?<i>The Revolt against Dualism</i>. Arthur O. Lovejoy,Henry Nelson Wieman,article,The Journal of Religion,,,,https://doi.org/10.1086/481061,https://openalex.org/W2257075611,https://doi.org/10.1086/481061,Arthur O. Lovejoy
OpenAlex,1937,<i>The Great Chain of Being: A Study of the History of an Idea</i>. Arthur O. Lovejoy,Bruce W. Brotherston,article,The Journal of Religion,,,,https://doi.org/10.1086/481966,https://openalex.org/W2516270553,https://doi.org/10.1086/481966,Arthur O. Lovejoy
OpenAlex,1937,Book Review:The Great Chain of Being: A Study of the History of an Idea. Arthur O. Lovejoy,Scott Buchanan,article,Ethics,,,,https://doi.org/10.1086/208409,https://openalex.org/W2030352736,https://doi.org/10.1086/208409,Arthur O. Lovejoy
OpenAlex,1937,<i>The Great Chain of Being: A Study of the History of an Idea</i>. Arthur O. Lovejoy,Scott Buchanan,article,The International Journal of Ethics,,,,https://doi.org/10.1086/intejethi.47.4.2989373,https://openalex.org/W2514777464,https://doi.org/10.1086/intejethi.47.4.2989373,Arthur O. Lovejoy
OpenAlex,1949,"Essays in the History of Ideas. By <i>Arthur O. Lovejoy</i>. (Baltimore: Johns Hopkins Press. 1948. Pp. xvii, 359. $5.00.)",Sidney Ratner,article,The American Historical Review,,,,https://doi.org/10.1086/ahr/54.4.850,https://openalex.org/W4233714045,https://doi.org/10.1086/ahr/54.4.850,Arthur O. Lovejoy
OpenAlex,1938,Harvard University and Drs. Walsh and Sweezy: A Review of the Faculty Committee's Report,Arthur O. Lovejoy,review,Bulletin of the American Association of University Professors,,,,https://doi.org/10.2307/40219387,https://openalex.org/W2801268978,https://doi.org/10.2307/40219387,Arthur O. Lovejoy
OpenAlex,1936,"<i>A Documentary History of Primitwism and Related Ideas</i>. General Editors, <scp>Arthur O. Lovejoy, Gilbert Chinard, George Boas, Ronald S. Crane</scp>. Volume I, <i>Primitwism and Related Ideas in Antiquity</i>. By <scp>Arthur O. Lovejoy, George Boas</scp>, <scp>Ronald S. Crane</scp>. Volume I, <i>Primitwism and Related Ideas in Antiquity</i>. By <scp>Arthur O. Lovejoy, George Boas</scp>. With Supplementary Essays by <scp>W. F. Albright</scp> and <scp>P. E. Dumont</scp>. (Baltimore: Johns Hopkins Press. 1935. Pp. xv, 482. $5.00.)",R. K. Hack,article,The American Historical Review,,,,https://doi.org/10.1086/ahr/41.4.728,https://openalex.org/W4242587055,https://doi.org/10.1086/ahr/41.4.728,Arthur O. Lovejoy
OpenAlex,1943,"Arthur O. Lovejoy. On the criteria and limits of meaning. Philosophical essays in honor of Edgar Arthur Singer, Jr., edited by F. P. Clarke and M. C. Nahm, University of Pennsylvania Press, Philadelphia1942, pp. 3–23.",Ernest Nagel,article,Journal of Symbolic Logic,,,,https://doi.org/10.2307/2266386,https://openalex.org/W2332344777,https://doi.org/10.2307/2266386,Arthur O. Lovejoy
OpenAlex,1935,"A documentary history of primitivism and related ideas General editors Arthur O. Lovejoy, Gilbert Chinard, George Boas, Ronald S. Crane","Lovejoy, Arthur O. 1873-1962",article,,,,,,https://openalex.org/W7113132094,,Arthur O. Lovejoy
